90	90	90	90	90	90	90	90	90	90	90	41	43	90	90	90	90	90	90	41
90	90	90	90	90	90	90	90	90	21	22	41	43	90	90	90	90	90	90	41
90	90	90	90	90	90	90	90	90	36	37	41	43	90	90	90	90	90	90	41
90	90	90	90	90	90	90	90	90	90	90	41	43	90	90	90	90	90	90	41
12	12	12	12	12	10	90	90	90	90	90	41	43	90	90	90	90	90	90	41
7	7	7	7	7	23	90	90	90	90	90	41	43	90	90	90	90	90	90	41
7	7	7	7	7	23	90	90	90	90	90	41	43	90	90	90	90	90	90	41
7	7	7	7	7	23	68	68	66	68	68	41	43	90	90	90	90	90	90	41
7	7	7	7	7	23	90	90	66	90	90	41	43	90	90	90	90	90	90	41
7	7	7	7	7	23	90	90	66	90	90	41	43	90	90	90	90	90	90	41
7	7	7	7	7	23	90	90	66	90	90	41	43	90	90	90	90	90	90	41
7	7	7	7	7	23	90	90	66	90	90	41	43	90	90	90	90	90	90	41
36	36	36	36	36	39	68	66	68	68	68	41	43	90	90	90	90	90	90	41
90	90	90	90	90	90	90	66	90	90	90	41	43	90	90	90	90	90	90	41
90	90	90	90	90	90	90	66	90	90	90	41	43	90	90	90	90	90	90	41
90	90	90	90	90	90	90	66	90	90	90	41	43	90	90	90	90	90	90	41
90	90	90	90	90	90	90	66	90	90	90	41	43	90	90	90	90	90	90	41
90	90	90	21	12	12	12	12	12	12	22	41	43	90	90	90	90	90	90	41
90	90	90	20	7	7	7	7	7	7	23	41	43	90	90	90	90	90	90	41
90	90	90	20	7	7	7	7	7	7	23	41	43	90	90	90	90	90	90	41
22	90	90	20	7	7	7	7	7	7	23	41	43	90	90	90	90	90	90	41
23	90	90	38	36	36	36	36	36	36	39	41	43	90	90	90	90	90	90	41
23	90	90	90	60	41	43	63	90	90	90	41	43	90	90	90	90	90	90	41
23	90	90	90	61	41	43	64	90	90	90	41	43	90	90	90	90	90	90	41
23	90	90	90	85	41	43	88	90	90	90	41	43	90	90	90	90	90	90	41
23	90	90	90	84	41	43	87	90	90	90	41	43	68	21	22	68	66	68	41
23	68	67	68	21	12	12	12	12	12	12	41	43	90	38	39	90	66	90	41
39	90	66	90	38	36	36	36	36	36	36	41	43	68	90	90	90	66	90	41
90	90	66	90	90	90	90	90	90	90	90	41	43	90	90	90	90	66	90	41
90	90	66	90	90	90	90	90	90	90	90	41	43	68	90	90	90	66	90	41
90	90	66	90	90	90	90	90	90	90	90	41	43	90	90	90	90	66	90	41
90	90	66	90	90	90	90	90	90	90	90	41	43	68	90	90	90	66	90	41
68	68	68	68	68	68	68	68	67	68	21	12	22	90	21	22	90	66	90	41
90	90	90	90	90	90	90	90	66	90	38	36	39	68	38	39	90	66	90	41
90	90	90	90	90	90	90	90	66	90	90	90	90	90	90	90	90	66	90	41
90	90	90	90	90	90	90	90	66	90	90	90	90	68	90	90	90	66	90	41
90	90	90	90	90	90	90	90	66	90	90	90	90	90	90	90	90	66	90	41
90	90	90	90	90	90	90	90	66	90	90	90	90	68	90	90	90	66	90	41
90	90	90	90	90	90	90	90	66	90	90	90	90	90	90	90	90	66	90	41
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	41
