32	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	30
32	39	39	39	39	39	39	39	39	39	39	39	30	32	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	39	30	32	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	33	30	32	50	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	35	30	32	51	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	36	30	32	54	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	38	30	32	55	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	30
32	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	56	19	56	56	56	56	56	10	10	10	10	10	10	10	10	10	10	10	10	56	19	56	10	10	10	10	10	10	10	10	10	30
32	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	39	18	39	39	39	39	39	12	12	12	12	12	12	12	12	12	12	12	12	39	18	39	12	12	12	12	12	12	12	12	12	30
32	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	18	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	18	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	18	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	18	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	31	31	31	32	39	39	39	39	39	39	39	14	39	39	39	39	39	18	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	39	30	31	31	31	31	31	31	32	39	39	14	39	39	39	39	39	39	39	13	39	39	39	39	39	18	39	39	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	39	30	31	31	31	31	31	31	32	39	39	16	39	39	39	39	39	39	39	13	39	39	39	39	39	18	39	17	39	39	39	39	39	39	39	39	30
32	39	39	39	39	39	39	39	39	39	39	39	30	31	31	31	31	31	31	32	39	39	15	39	39	39	39	39	39	39	15	39	39	39	39	39	18	39	15	39	39	39	39	39	39	39	39	30
32	13	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30
